source_country,source_location,target_pakistani_location,event_type_mapping,relationship_count,minimum_lag_days,maximum_lag_days,mean_lag_days,median_lag_days,earliest_example,latest_example,caveat
Iran,ir_kerman,pk_islamabad,Flood->Flood,1,1,1,1.0,1.0,flood_fb41510cb3ce,flood_ffd50110e64a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_islamabad,Wind->Storm,1,1,1,1.0,1.0,wind_4a41e3900cbe,storm_0ed2da23140f,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_quetta,Rainfall->Storm,1,1,1,1.0,1.0,rainfall_f7de67b956a8,storm_22e460a42480,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_sukkur,Heatwave->Heatwave,1,1,1,1.0,1.0,heatwave_653bc0f1911a,heatwave_df48b7c08113,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_islamabad,Flood->Flood,1,1,1,1.0,1.0,flood_aa2d45e02c2c,flood_47d92c6099f1,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_multan,Wind->Storm,1,1,1,1.0,1.0,wind_861b749c6931,storm_5b00c0b0cb2c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_quetta,Heatwave->Heatwave,1,1,1,1.0,1.0,heatwave_081b97c9e421,heatwave_06b693207c29,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_sukkur,Heatwave->Heatwave,1,1,1,1.0,1.0,heatwave_f8f9eab9fa59,heatwave_dcb854d3fce5,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_islamabad,Heatwave->Temperature,1,1,1,1.0,1.0,heatwave_ab2c9e8f03ca,temperature_d7562e19798c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_multan,Temperature->Heatwave,1,1,1,1.0,1.0,temperature_53014f6612f3,heatwave_fd3191ca2ec4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_quetta,Rainfall->Storm,1,1,1,1.0,1.0,rainfall_f76dc678d187,storm_d2aab921468f,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_sukkur,Heatwave->Temperature,1,1,1,1.0,1.0,heatwave_a7d0347e3106,temperature_39dd3301166c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_islamabad,Heatwave->Temperature,1,2,2,2.0,2.0,heatwave_fa9a0f27fabf,temperature_68e545e3a475,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_quetta,Rainfall->Flood,1,2,2,2.0,2.0,rainfall_61e7f643f2bb,flood_a0ca8e671617,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_sukkur,Temperature->Heatwave,1,2,2,2.0,2.0,temperature_02ad844b6bfa,heatwave_2f9d2f0f05f9,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_peshawar,Rainfall->Storm,1,2,2,2.0,2.0,rainfall_8a9ab3907a19,storm_dd80b380aa37,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_peshawar,Wind->Storm,1,2,2,2.0,2.0,wind_731a7195c1db,storm_1ad8f42e4429,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_islamabad,Flood->Flood,1,2,2,2.0,2.0,flood_15b74d36e70d,flood_20205f0bca65,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_multan,Rainfall->Rainfall,1,2,2,2.0,2.0,rainfall_34a64b76bfa7,rainfall_e9a180dd26e5,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_multan,Rainfall->Storm,1,2,2,2.0,2.0,rainfall_34a64b76bfa7,storm_a408efae141f,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_multan,Wind->Storm,1,2,2,2.0,2.0,wind_96864e4df390,storm_85f4ae71963c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_islamabad,Heatwave->Heatwave,1,2,2,2.0,2.0,heatwave_73579fecea96,heatwave_3e62415dd166,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_multan,Flood->Flood,1,2,2,2.0,2.0,flood_609fb5bd91c5,flood_edfc7aed3123,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_multan,Heatwave->Heatwave,1,2,2,2.0,2.0,heatwave_73579fecea96,heatwave_3cf4c6b8ca2d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_sukkur,Flood->Flood,1,2,2,2.0,2.0,flood_609fb5bd91c5,flood_6c7a96982b15,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_sukkur,Heatwave->Heatwave,1,2,2,2.0,2.0,heatwave_73579fecea96,heatwave_86a8e3288991,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_gilgit,Drought->Drought,1,2,2,2.0,2.0,drought_ed057e7050c5,drought_654d95c21d18,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_gilgit,Heatwave->Temperature,1,2,2,2.0,2.0,heatwave_b0ae1b8afbf6,temperature_07dabb401eff,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_islamabad,Heatwave->Temperature,1,2,2,2.0,2.0,heatwave_46d32b6f50a7,temperature_5742b9e895e1,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_islamabad,Temperature->Heatwave,1,2,2,2.0,2.0,temperature_5e9ceddd90de,heatwave_06dddb4cc43c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_multan,Temperature->Heatwave,1,2,2,2.0,2.0,temperature_15134da17498,heatwave_20da2d2ac47c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_islamabad,Heatwave->Temperature,1,2,2,2.0,2.0,heatwave_0f38c7e7986e,temperature_a09531de7c21,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_lahore,Storm->Storm,1,2,2,2.0,2.0,storm_5ef4f618cad0,storm_7d53a4309019,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_multan,Heatwave->Temperature,1,2,2,2.0,2.0,heatwave_0b14146013bd,temperature_3a055abc5c8d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_multan,Rainfall->Storm,1,2,2,2.0,2.0,rainfall_d9d186f01357,storm_b8a81d25a384,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_islamabad,Temperature->Heatwave,1,2,2,2.0,2.0,temperature_e06fe1740cbb,heatwave_e6586ce8475d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_lahore,Wind->Storm,1,2,2,2.0,2.0,wind_2c9db9f9f9ae,storm_d99ac94bf3f9,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_sukkur,Heatwave->Heatwave,1,2,2,2.0,2.0,heatwave_8fe84d7d6dc9,heatwave_afbb24b31d79,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_multan,Heatwave->Temperature,1,2,2,2.0,2.0,heatwave_d8169a867702,temperature_15b88e4c635a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_quetta,Rainfall->Flood,1,2,2,2.0,2.0,rainfall_dfebf3718e50,flood_a0c046b32f85,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_sukkur,Heatwave->Temperature,1,2,2,2.0,2.0,heatwave_f8f9eab9fa59,temperature_a72b5d136613,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_islamabad,Rainfall->Rainfall,1,2,2,2.0,2.0,rainfall_60871159e8cf,rainfall_21bff82ea081,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_multan,Rainfall->Flood,1,3,3,3.0,3.0,rainfall_4f0651a203a1,flood_56229434b967,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_multan,Temperature->Heatwave,1,3,3,3.0,3.0,temperature_50d53921c149,heatwave_ded5a652ad29,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_islamabad,Temperature->Heatwave,1,3,3,3.0,3.0,temperature_52b0b418aee9,heatwave_3c6a2be6050a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_multan,Heatwave->Heatwave,1,3,3,3.0,3.0,heatwave_46d32b6f50a7,heatwave_136f78d6f0ee,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_multan,Heatwave->Temperature,1,3,3,3.0,3.0,heatwave_46d32b6f50a7,temperature_24dc8032254b,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_lahore,Storm->Rainfall,1,3,3,3.0,3.0,storm_5ef4f618cad0,rainfall_4c5236403a13,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_multan,Temperature->Heatwave,1,3,3,3.0,3.0,temperature_e361642dbe68,heatwave_45a00423d70e,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_islamabad,Heatwave->Heatwave,1,3,3,3.0,3.0,heatwave_dd9c22590173,heatwave_5d12e1173042,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_islamabad,Heatwave->Temperature,1,3,3,3.0,3.0,heatwave_dd9c22590173,temperature_3b2432514fe6,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_gilgit,Heatwave->Heatwave,1,3,3,3.0,3.0,heatwave_0921c638c7f5,heatwave_d51b565c6f8d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_islamabad,Rainfall->Flood,1,3,3,3.0,3.0,rainfall_ac69569d1b38,flood_1834e7860b1e,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_multan,Heatwave->Heatwave,1,3,3,3.0,3.0,heatwave_0921c638c7f5,heatwave_8dbfabf4d9e2,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_islamabad,Temperature->Heatwave,1,3,3,3.0,3.0,temperature_856fa6573e17,heatwave_16736b92e7d4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_islamabad,Wind->Storm,1,3,3,3.0,3.0,wind_ae2870b3f096,storm_6e3f455d28bd,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_multan,Heatwave->Temperature,1,3,3,3.0,3.0,heatwave_f8f9eab9fa59,temperature_6d0fddd7b82c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_sukkur,Drought->Drought,1,3,3,3.0,3.0,drought_71f23b1a6858,drought_0d829f2fadbe,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_quetta,Wind->Storm,1,3,3,3.0,3.0,wind_2fa8f75fb0a4,storm_9558a2e716a8,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_islamabad,Drought->Drought,1,4,4,4.0,4.0,drought_7241f4e69459,drought_1d008c29d46d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_multan,Flood->Flood,1,4,4,4.0,4.0,flood_fc056892176d,flood_977d93c3ba82,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_lahore,Heatwave->Heatwave,1,4,4,4.0,4.0,heatwave_0f38c7e7986e,heatwave_2b58a5ebc172,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_lahore,Heatwave->Temperature,1,4,4,4.0,4.0,heatwave_0f38c7e7986e,temperature_4860771b2261,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_sukkur,Rainfall->Flood,1,4,4,4.0,4.0,rainfall_ee11a488c233,flood_9a262b1ce5e7,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_gilgit,Drought->Drought,1,4,4,4.0,4.0,drought_54dd4939c4cc,drought_b85f60abcf08,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_islamabad,Drought->Drought,1,4,4,4.0,4.0,drought_0b22fa6bfcf5,drought_0de7dc68e608,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_multan,Drought->Drought,1,4,4,4.0,4.0,drought_0b22fa6bfcf5,drought_ecd12791d67a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_sukkur,Wind->Storm,1,4,4,4.0,4.0,wind_7e7ba84b3b57,storm_763adb048e98,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_islamabad,Heatwave->Temperature,1,5,5,5.0,5.0,heatwave_1a4a5bf62a51,temperature_afdbe45d7f03,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_sukkur,Heatwave->Temperature,1,5,5,5.0,5.0,heatwave_1a4a5bf62a51,temperature_40e0e84b4c81,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_quetta,Flood->Flood,1,5,5,5.0,5.0,flood_8c89c5671ae7,flood_81512752ec19,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_sukkur,Heatwave->Temperature,1,5,5,5.0,5.0,heatwave_b6b4731ca025,temperature_abbd4d5f2e0e,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_islamabad,Rainfall->Rainfall,1,5,5,5.0,5.0,rainfall_7b7437faa89c,rainfall_c04f4bc68511,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_lahore,Flood->Flood,1,5,5,5.0,5.0,flood_c40e8f497df6,flood_91ef184007af,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_multan,Flood->Flood,1,5,5,5.0,5.0,flood_eae18bd63004,flood_78570b0fdb46,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_multan,Rainfall->Flood,1,5,5,5.0,5.0,rainfall_d5a0c9d6e18d,flood_f1270953db56,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_gilgit,Storm->Rainfall,1,5,5,5.0,5.0,storm_8fadc9b7b469,rainfall_1ebe79bc84f3,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_multan,Heatwave->Temperature,1,5,5,5.0,5.0,heatwave_49388a99b631,temperature_e9d2200bda2d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_multan,Rainfall->Rainfall,1,5,5,5.0,5.0,rainfall_d8f7c5057690,rainfall_92313891a772,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_islamabad,Rainfall->Rainfall,1,5,5,5.0,5.0,rainfall_dced4cd6cada,rainfall_dec8ceacc29f,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_sukkur,Flood->Flood,1,6,6,6.0,6.0,flood_eae18bd63004,flood_45ad10eef600,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_islamabad,Rainfall->Rainfall,1,6,6,6.0,6.0,rainfall_d8f7c5057690,rainfall_fc341e130798,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_multan,Flood->Flood,1,6,6,6.0,6.0,flood_acf6519d7148,flood_52d9b2492181,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_quetta,Temperature->Heatwave,1,6,6,6.0,6.0,temperature_3404f16a3a20,heatwave_684831b6de8b,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_sukkur,Drought->Drought,1,7,7,7.0,7.0,drought_f01f8df0ca48,drought_fb35e3a4db5b,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_lahore,Drought->Drought,1,7,7,7.0,7.0,drought_f1af76b842df,drought_cfa21988aec0,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_quetta,Rainfall->Rainfall,1,7,7,7.0,7.0,rainfall_6afd4f17285a,rainfall_76ccf48deb34,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_multan,Drought->Drought,1,8,8,8.0,8.0,drought_1072f2685b0f,drought_991bc53460fb,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_peshawar,Rainfall->Storm,1,9,9,9.0,9.0,rainfall_bee277a545fc,storm_0c148bed9533,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_quetta,Drought->Drought,1,9,9,9.0,9.0,drought_f9598f09bebd,drought_ce8ebd84520d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_gilgit,Heatwave->Heatwave,1,9,9,9.0,9.0,heatwave_568f3733c96c,heatwave_38494dbe3584,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_sukkur,Rainfall->Flood,1,9,9,9.0,9.0,rainfall_a9445be2e5fc,flood_0dd5ae34baf5,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_sukkur,Rainfall->Rainfall,1,10,10,10.0,10.0,rainfall_c59925149dcb,rainfall_54c4110c1ae6,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_gilgit,Flood->Flood,1,10,10,10.0,10.0,flood_f92348d2173b,flood_10bc25f90f92,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_islamabad,Rainfall->Flood,1,10,10,10.0,10.0,rainfall_08a09a28a247,flood_ea1c653fd7e1,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_sukkur,Flood->Flood,1,10,10,10.0,10.0,flood_bcc48ba60408,flood_720e5872a3fa,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
